sku,title,subtitle,niche,trim_size,page_count,interior_style,primary_keywords,secondary_keywords,short_desc,long_desc,price_usd,cover_filename,thumb_filename,interior_docx,category_hint
SKU-001,Baby Sleepy Time Story,Woodland Dreams,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","woodland,forest,animals",Baby Sleepy Time Story in the Woodland Dreams theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Woodland Dreams) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_001.png,thumb_001.png,interior_001.docx,Juvenile Fiction / Bedtime & Dreams
SKU-002,Baby Sleepy Time Story,Cloudy Sky,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","clouds,stars,moon",Baby Sleepy Time Story in the Cloudy Sky theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Cloudy Sky) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_002.png,thumb_002.png,interior_002.docx,Juvenile Fiction / Bedtime & Dreams
SKU-003,Baby Sleepy Time Story,Farmhouse Nights,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","farm,country,barn",Baby Sleepy Time Story in the Farmhouse Nights theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Farmhouse Nights) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_003.png,thumb_003.png,interior_003.docx,Juvenile Fiction / Bedtime & Dreams
SKU-004,Baby Sleepy Time Story,City Park Day,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","city,park,playground",Baby Sleepy Time Story in the City Park Day theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (City Park Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_004.png,thumb_004.png,interior_004.docx,Juvenile Fiction / Bedtime & Dreams
SKU-005,Baby Sleepy Time Story,Beach Day,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","ocean,beach,sea",Baby Sleepy Time Story in the Beach Day theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Beach Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_005.png,thumb_005.png,interior_005.docx,Juvenile Fiction / Bedtime & Dreams
SKU-006,Baby Sleepy Time Story,Garden Friends,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","garden,flowers,bees",Baby Sleepy Time Story in the Garden Friends theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Garden Friends) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_006.png,thumb_006.png,interior_006.docx,Juvenile Fiction / Bedtime & Dreams
SKU-007,Baby Sleepy Time Story,Mountain Camp,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","mountain,cabin,trees",Baby Sleepy Time Story in the Mountain Camp theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Mountain Camp) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_007.png,thumb_007.png,interior_007.docx,Juvenile Fiction / Bedtime & Dreams
SKU-008,Baby Sleepy Time Story,Pastel Skies,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","pastels,soft,colors",Baby Sleepy Time Story in the Pastel Skies theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Pastel Skies) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_008.png,thumb_008.png,interior_008.docx,Juvenile Fiction / Bedtime & Dreams
SKU-009,Baby Sleepy Time Story,Safari Snuggles,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","safari,lion,giraffe",Baby Sleepy Time Story in the Safari Snuggles theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Safari Snuggles) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_009.png,thumb_009.png,interior_009.docx,Juvenile Fiction / Bedtime & Dreams
SKU-010,Baby Sleepy Time Story,Snowy Cozy,Baby Sleepy Time,8.5x11,40,picture book,"baby,bedtime,soothing","snow,winter,mittens",Baby Sleepy Time Story in the Snowy Cozy theme. A soothing 40‑page bedtime picture book for infants and toddlers.,"Baby Sleepy Time Story (Snowy Cozy) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_010.png,thumb_010.png,interior_010.docx,Juvenile Fiction / Bedtime & Dreams
SKU-011,Baby Daytime Storybook,Woodland Dreams,Baby Daytime Stories,8.5x11,40,picture book,"baby,daytime,playful","woodland,forest,animals","Baby Daytime Storybook in the Woodland Dreams theme. Bright, playful 40‑page daytime stories to read and giggle together.","Baby Daytime Storybook (Woodland Dreams) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_011.png,thumb_011.png,interior_011.docx,Juvenile Fiction / Stories in Verse
SKU-012,Baby Daytime Storybook,Cloudy Sky,Baby Daytime Stories,8.5x11,40,picture book,"baby,daytime,playful","clouds,stars,moon","Baby Daytime Storybook in the Cloudy Sky theme. Bright, playful 40‑page daytime stories to read and giggle together.","Baby Daytime Storybook (Cloudy Sky) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_012.png,thumb_012.png,interior_012.docx,Juvenile Fiction / Stories in Verse
SKU-013,Baby Daytime Storybook,Farmhouse Nights,Baby Daytime Stories,8.5x11,40,picture book,"baby,daytime,playful","farm,country,barn","Baby Daytime Storybook in the Farmhouse Nights theme. Bright, playful 40‑page daytime stories to read and giggle together.","Baby Daytime Storybook (Farmhouse Nights) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_013.png,thumb_013.png,interior_013.docx,Juvenile Fiction / Stories in Verse
SKU-014,Baby Daytime Storybook,City Park Day,Baby Daytime Stories,8.5x11,40,picture book,"baby,daytime,playful","city,park,playground","Baby Daytime Storybook in the City Park Day theme. Bright, playful 40‑page daytime stories to read and giggle together.","Baby Daytime Storybook (City Park Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_014.png,thumb_014.png,interior_014.docx,Juvenile Fiction / Stories in Verse
SKU-015,Baby Daytime Storybook,Beach Day,Baby Daytime Stories,8.5x11,40,picture book,"baby,daytime,playful","ocean,beach,sea","Baby Daytime Storybook in the Beach Day theme. Bright, playful 40‑page daytime stories to read and giggle together.","Baby Daytime Storybook (Beach Day) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",6.99,cover_015.png,thumb_015.png,interior_015.docx,Juvenile Fiction / Stories in Verse
SKU-016,Mommy & Me Journal,Guided Keepsake,Guided Journal,8.5x11,100,lined + prompts,"journal,prompts,memories","family,keepsake,gift","Mommy & Me Journal in the Guided Keepsake theme. A guided journal with prompts, quotes, and space for photos.","Mommy & Me Journal (Guided Keepsake) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_016.png,thumb_016.png,interior_016.docx,Family & Relationships / Parenting / Motherhood
SKU-017,Daddy & Me Journal,Guided Keepsake,Guided Journal,8.5x11,100,lined + prompts,"journal,prompts,memories","family,keepsake,gift","Daddy & Me Journal in the Guided Keepsake theme. A guided journal with prompts, quotes, and space for photos.","Daddy & Me Journal (Guided Keepsake) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_017.png,thumb_017.png,interior_017.docx,Family & Relationships / Parenting / Fatherhood
SKU-018,Grandma’s Story to You,Guided Keepsake,Guided Journal,8.5x11,100,lined + prompts,"journal,prompts,memories","family,keepsake,gift","Grandma’s Story to You in the Guided Keepsake theme. A guided journal with prompts, quotes, and space for photos.","Grandma’s Story to You (Guided Keepsake) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_018.png,thumb_018.png,interior_018.docx,Family & Relationships / Parenting / Grandparenting
SKU-019,Baby Milestones Journal,First Year Milestones,Milestones Journal,8.5x11,100,guided journal,"milestones,first year,baby","memories,photos,dates","Baby Milestones Journal in the First Year Milestones theme. Track firsts, favorites, and family stories with simple prompts.","Baby Milestones Journal (First Year Milestones) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_019.png,thumb_019.png,interior_019.docx,Family & Relationships / Life Stages / Infants & Toddlers
SKU-020,Baby Milestones Journal,Our Big Adventures,Milestones Journal,8.5x11,100,guided journal,"milestones,first year,baby","memories,photos,dates","Baby Milestones Journal in the Our Big Adventures theme. Track firsts, favorites, and family stories with simple prompts.","Baby Milestones Journal (Our Big Adventures) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_020.png,thumb_020.png,interior_020.docx,Family & Relationships / Life Stages / Infants & Toddlers
SKU-021,Baby Milestones Journal,Baby Favorites,Milestones Journal,8.5x11,100,guided journal,"milestones,first year,baby","memories,photos,dates","Baby Milestones Journal in the Baby Favorites theme. Track firsts, favorites, and family stories with simple prompts.","Baby Milestones Journal (Baby Favorites) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",9.99,cover_021.png,thumb_021.png,interior_021.docx,Family & Relationships / Life Stages / Infants & Toddlers
SKU-022,Baby Food Adventures,First Foods Log,Food & Feeding Log,8.5x11,60,logbook,"first foods,weaning,baby","recipes,reactions,notes","Baby Food Adventures in the First Foods Log theme. A simple log of first foods, reactions, and favorite recipes.","Baby Food Adventures (First Foods Log) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",7.99,cover_022.png,thumb_022.png,interior_022.docx,Cooking / Baby Food
SKU-023,Baby Food Adventures,Tastes & Textures,Food & Feeding Log,8.5x11,60,logbook,"first foods,weaning,baby","recipes,reactions,notes","Baby Food Adventures in the Tastes & Textures theme. A simple log of first foods, reactions, and favorite recipes.","Baby Food Adventures (Tastes & Textures) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",7.99,cover_023.png,thumb_023.png,interior_023.docx,Cooking / Baby Food
SKU-024,Baby Adventure Journal,First Vacation to the Beach,Travel & Adventures,8.5x11,60,travel journal,"travel,vacation,baby","memories,photos,keepsake","Baby Adventure Journal in the First Vacation to the Beach theme. Capture the trip with simple prompts, maps, and photo spots.","Baby Adventure Journal (First Vacation to the Beach) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",7.99,cover_024.png,thumb_024.png,interior_024.docx,Travel / Essays & Travelogues
SKU-025,Baby Adventure Journal,Big City Shopping Trip,Travel & Adventures,8.5x11,60,travel journal,"travel,vacation,baby","memories,photos,keepsake","Baby Adventure Journal in the Big City Shopping Trip theme. Capture the trip with simple prompts, maps, and photo spots.","Baby Adventure Journal (Big City Shopping Trip) is a gentle, guided keepsake designed for busy families. Includes thoughtful prompts, room for photos, and sweet moments to treasure. Perfect as a gift or to create a nightly ritual.",7.99,cover_025.png,thumb_025.png,interior_025.docx,Travel / Essays & Travelogues
